director,number_of_title,vote_average
FÃ©lix EnrÃ­quez AlcalÃ¡,2,5.9
G.E. Furst,1,3.3
Gabe IbÃ¡Ã±ez,1,5.4
Gabe Polsky,1,7.2
Gabe Torres,1,5.2
Gabe Turner,1,5.4
Gabriel Cowan,2,4.35
Gabriel Range,1,5.9
Gabriela Cowperthwaite,1,7.9
Gabriele Muccino,5,6.5
Gad Elmaleh,1,4.4
Galt Niederhoffer,1,4.8
Gareth Carrivick,1,7.1
Gareth Edwards,2,6.25
Gareth Evans,1,5.9
Garrett Batty,1,5.2
Garrett Brawith,1,4.3
Garry Marshall,14,5.8999999999999995
Garth Jennings,2,6.65
Gary Chapman,1,5.3
Gary David Goldberg,1,6.0
Gary Entin,1,6.4
Gary Fleder,7,6.385714285714285
Gary Goddard,1,5.0
Gary Goldman|Don Bluth,1,5.8
Gary Hardwick,1,6.3
Gary Harvey,1,5.8
Gary Hustwit,3,7.266666666666667
Gary J. Tunnicliffe,1,6.3
Gary Jones,1,4.4
Gary Katona|Ed Wexler,1,7.4
Gary Lennon,1,5.2
Gary Leva,1,5.6
Gary McKendry,1,6.0
Gary Nelson,3,5.533333333333334
Gary Oldman,1,6.4
Gary Ross,3,6.633333333333334
Gary Rydstrom,3,6.866666666666666
Gary Sherman,3,5.166666666666667
Gary Shore,1,6.1
Gary Sinise,1,6.8
Gary Sinyor,2,5.1
Gary Trousdale,2,6.0
Gary Trousdale|Kirk Wise,3,6.8
Gary Trousdale|Raman Hui,1,6.4
Gary Winick,4,6.1
Gary Yates,1,5.8
Gaspar NoÃ©,2,5.9
Gauri Shinde,1,7.1
Gavin Grazer,1,4.8
Gavin Hood,5,6.5
Gavin O'Connor,3,6.8999999999999995
Gavin Wiesen,1,6.4
Geeta Patel|Ravi Patel,1,6.7
Gene Kelly,1,5.8
Gene Quintano,1,5.5
Gene Saks,3,7.0
Gene Wilder,3,5.7
Genndy Tartakovsky,2,6.75
Geoff Meed,1,5.2
Geoff Moore|David Posamentier,1,5.9
Geoff Murphy,5,5.4
Geoffrey Fletcher,1,6.1
Geoffrey Sax,5,5.7
Geoffrey Wright,2,5.4
George A. Romero,12,5.9750000000000005
George Armitage,3,5.6000000000000005
George Bowers,1,5.8
George Butler|Robert Fiore,1,7.0
George C. Wolfe,2,6.5
George Clooney,4,6.225
George Cukor,2,6.0
George Dunning,1,7.0
George Gallo,5,5.779999999999999
George Hickenlooper,2,6.1
George Huang,2,6.05
George Isaac,1,4.4
George Lucas,6,6.7
George Mihalka,1,6.4
George Miller,8,6.2125
George Miller|George Ogilvie,1,5.8
George Nolfi,1,6.4
George P. Cosmatos,5,6.24
George Pal,1,7.3
George Pollock,4,6.375
George Ratliff,2,5.550000000000001
George Roy Hill,7,6.557142857142858
George Scribner,1,6.4
George Seaton,1,6.2
George Sherman,1,6.4
George Sidney,1,5.7
George Sluizer,2,6.5
George Stevens,1,5.7
George T. Miller,4,5.6499999999999995
"George Tillman, Jr.",6,6.75
Georges Lautner,1,6.8
Gerado Olivares|Otmar Penker,1,7.5
Gerald McMorrow,1,5.5
Gerald Potterton,1,6.3
Gerald Thomas,12,6.1000000000000005
Gerard Barrett,1,3.5
Gerard Johnson,1,4.7
Gerard Johnstone,1,6.4
Gerard Stembridge,1,5.1
Gerry Lively,2,4.6
Gia Coppola,1,6.4
Giacomo Campiotti,1,5.9
Giancarlo Volpe,1,5.8
Gianfranco Rosi,1,4.6
Gianni Di Gregorio,1,6.6
Gideon Raff,1,4.9
Gil Cates Jr.,2,5.2
Gil Junger,8,5.674999999999999
Gil Kenan,3,5.8
Gilbert Adler,1,4.9
Gilles Bourdos,1,5.6
Gilles Paquet-Brenner,3,5.000000000000001
Gillian Armstrong,3,5.866666666666667
Gillian Robespierre,1,6.7
Gillies MacKinnon,1,4.8
Gina Prince-Bythewood,3,7.133333333333334
Gino Nichele,1,6.6
Giorgia Farina,1,5.5
Giorgio Serafini,2,3.9499999999999997
Giorgio Serafini|James Coyne,1,3.1
Giovanni Veronesi,2,4.75
Giuliano Montaldo,1,5.5
Giulio De Santi,1,6.0
Giulio Manfredonia,1,7.1
Giulio Paradisi,1,3.0
Giuseppe Tornatore,3,7.366666666666667
Glen Morgan,2,5.3
Glenio Bonder,1,4.2
Glenn Ficarra|John Requa,3,6.633333333333333
Glenn Gaylord,1,6.0
Glenn Gordon Caron,1,5.2
Glenn Miller,2,3.4
Glenn Standring,1,5.4
Godfrey Reggio,3,6.766666666666667
Gonzalo LÃ³pez-Gallego,2,5.35
Goran Dukic,1,6.4
Gordon Chan,4,6.0249999999999995
Gordon Douglas,2,5.35
Gordon Hessler,4,5.575
Gordon Parks,1,6.2
Gore Verbinski,9,6.366666666666666
Graeme Clifford,1,5.7
Graham Annable|Anthony Stacchi,1,6.6
Graham Baker,3,5.266666666666667
Grant Gee,1,7.8
Grant Harvey|Steven Hoban|Brett Sullivan,1,5.6
Grant Heslov,1,5.8
Greg 'Freddy' Camalier,1,6.9
Greg A. Sager,1,5.0
Greg Beeman,5,5.1
Greg Berlanti,2,6.15
Greg Carter,1,3.8
Greg Coolidge,1,5.4
Greg Francis,1,5.5
Greg Franklin,1,6.7
Greg Glienna,1,5.4
Greg Marcks,2,6.050000000000001
Greg McLean,3,5.8
Greg Mottola,4,6.449999999999999
Greg Olliver|Wes Orshoski,1,6.9
Greg Richardson,4,6.550000000000001
Greg Spence,2,5.1
Greg Whiteley,1,6.4
Greg Yaitanes,1,6.5
Gregg Araki,6,6.05
Gregg Bishop,1,6.3
Gregg Champion,2,6.15
Gregg Godfrey|Jeremy Rawle,1,6.8
Gregor Jordan,5,5.720000000000001
Gregory Dark,1,4.7
Gregory Doran,1,6.4
Gregory Hoblit,6,6.533333333333334
Gregory J. Read,1,6.6
Gregory Jacobs,3,6.099999999999999
Gregory Mackenzie,1,6.0
Gregory Nava,2,6.5
Gregory Plotkin,1,5.0
Gregory Poirier,1,4.8
Gregory Widen,1,5.5
Gregory Wilson,1,6.4
Gren Wells,1,6.9
Griff Furst,2,4.550000000000001
Griffin Dunne,4,5.775
GrÃ©gory Levasseur,1,4.7
Guido Chiesa,1,6.1
Guillaume Canet,1,5.8
Guillermo Amoedo,1,4.9
Guillermo Arriaga,1,6.7
Guillermo del Toro,7,6.171428571428571
Gun Ho Jang,1,5.8
Gurinder Chadha,3,6.433333333333334
Gus Holwerda,1,6.5
Gus Van Sant,15,6.226666666666666
Guy Ferland,3,5.733333333333333
Guy Hamilton,10,6.190000000000001
Guy Jenkin,1,6.1
Guy Maddin,2,6.199999999999999
Guy Maddin|Evan Johnson,1,5.7
Guy Magar,1,4.3
Guy Moshe,1,5.6
Guy Ritchie,8,6.6625000000000005
GÃ¡bor CsupÃ³,2,6.300000000000001
GÃ©la Babluani,1,5.9
GÃ©rald Hustache-Mathieu,1,6.1
GÃ©rard Jugnot,2,5.45
GÃ©rard Krawczyk,1,5.0
GÃ©rard Lauzier,1,5.1
GÃ©rard PirÃ¨s,1,5.1
H.B. Halicki|Steve Peterson,1,5.7
Hadi Hajaig,1,5.1
Hal Ashby,5,6.8
Hal Haberman|Jeremy Passmore,1,6.5
Hal Hartley,2,6.1
Hal Needham,8,5.7625
Hamish Hamilton|Erica Forstadt,1,7.6
Hank Braxtan,1,5.5
Hannah Fidell,2,4.9
Hans Canosa,1,6.3
Hans Horn,1,5.0
Hans Petter Moland,1,6.3
Hany Abu-Assad,2,5.6
Harald Zwart,5,5.64
Harley Cokeliss,2,5.449999999999999
Harmony Korine,2,5.8
Harold Becker,8,5.8875
Harold Cronk,1,6.1
Harold P. Warren,1,1.5
Harold Ramis,10,5.760000000000001
Harry Elfont|Deborah Kaplan,2,5.7
Harry Harris,1,6.2
Harry Hook,1,6.6
Harry KÃ¼mel,1,5.3
Harry Winer,2,5.65
Hart Bochner,2,6.0
Harvey Glazer,2,4.55
Hatsuki Tsuji,1,5.5
Hattie Dalton,1,7.1
Hector Babenco,2,5.75
Heidi Ewing|Rachel Grady,1,6.5
Heinz Dunkhase,1,6.3
Heitor Dhalia,1,6.0
Helen Hunt,2,5.550000000000001
Hendel Butoy|Mike Gabriel,1,6.4
Henrik Ruben Genz,1,5.2
Henrique Goldman,1,6.6
Henry Alex Rubin,1,6.7
Henry Bean,1,6.8
Henry Hathaway,3,6.6000000000000005
Henry Hobson,1,5.1
Henry Joost|Ariel Schulman,3,5.8999999999999995
Henry Miller,1,5.3
Henry Saine,1,5.6
Henry Selick,4,6.15
Henry Winkler,1,5.1
Herbert Ross,10,6.42
Herbert Wise,1,6.6
Herk Harvey,1,6.9
Herman Yau,1,6.0
Hermine Huntgeburth,1,6.5
HernÃ¡n Goldfrid,1,6.2
Herschel Faber,1,4.8
Herschell Gordon Lewis,2,5.4
Hettie MacDonald,1,7.0
Hideo Nakata,2,5.550000000000001
Hironobu Sakaguchi|Motonori Sakakibara,1,5.6
Hiroshi Aoyama|Kazumi Fukushima|Jim Stenstrum,1,7.0
Hiroyuki Kitakubo,1,6.7
Holly Goldberg Sloan,1,5.4
Homi Adajania,1,5.8
Hong Khaou,1,7.1
Hossein Amini,1,5.4
Howard Deutch,9,5.98888888888889
Howard E. Baker|John Fox|Kyungho Lee,1,4.9
Howard Franklin,1,5.4
Howard Franklin|Bill Murray,1,6.3
Howard Hall,2,6.25
Howard Hawks,4,5.625
Howard J. Ford|Jonathan Ford,1,5.3
Howard McCain,1,6.0
Howard Michael Gould,1,6.2
Howard Storm,1,5.5
Howard Zieff,4,6.025
Howie Askins,1,4.8
Howy Parkins,1,5.9
Hoyt Yeatman,1,5.1
Huck Botko,1,4.6
Hugh Hudson,3,5.933333333333334
Hugh Johnson,1,5.4
Hugh Wilson,5,5.6
Humberto Hinojosa,1,5.5
Hunter Richards,1,5.7
HyeonJong Lee,1,6.6
Hype Williams,1,7.0
Iain B. MacDonald,1,4.5
Iain Forsyth|Jane Pollard,1,6.8
Iain Riddick|Martin Williams|Nathan Williams,1,7.0
Iain Softley,7,6.057142857142857
Ian Cheney,1,6.9
Ian Fitzgibbon,3,5.8
Ian Kessner,1,4.8
Ian Kirby,2,6.3
Ian MacNaughton,1,6.9
Ice-T|Andy Baybutt,1,6.5
Ilya Naishuller,1,5.9
Ingmar Bergman,1,5.3
Inon Shampanier,1,5.5
Ira Sachs,3,6.033333333333334
Irvin Kershner,4,6.275
Irwin Allen,2,6.35
Irwin Winkler,5,6.08
Isaac Feder,1,5.1
Isaac Florentine,7,5.642857142857144
Isaac Gabaeff,1,3.9
Isaac Webb,1,4.6
Isabel Coixet,6,5.916666666666667
Isabelle Mergault,2,5.35
Ishi Rudell|Jayson Thiessen,1,6.7
Israel Horovitz,1,6.0
Israel Luna,2,3.3499999999999996
IstvÃ¡n SzabÃ³,1,4.8
Ivan CalbÃ©rac,1,5.5
Ivan Kavanagh,1,5.7
Ivan Passer,1,5.5
Ivan Reitman,15,5.7666666666666675
Ivan Sen,1,6.1
J Blakeson,1,6.3
J. Lee Thompson,9,5.6
J. Lee Thompson|Alexander Mackendrick,1,7.0
J. Michael Muro,1,5.3
J. Michael Straczynski|Sara Barnes,1,6.4
J.B. Rogers,3,5.2
J.C. Calciano,3,5.666666666666667
J.C. Chandor,3,6.5
J.C. Khoury,2,5.800000000000001
J.G. Quintel,1,7.4
J.J. Abrams,5,7.019999999999999
J.M. Kenny,1,6.8
J.M.R. Luna,1,5.3
J.P. Schaefer,1,5.8
J.S. Cardone,3,4.566666666666666
J.T. Petty,3,5.466666666666666
J.T. Tepnapa,1,5.9
JR,1,7.2
Jabbar Raisani,1,4.1
Jac Schaeffer,1,5.9
Jack Arnold,1,7.3
Jack Bender,1,5.5
Jack Bryan,1,4.6
Jack Clayton,3,6.333333333333333
Jack Donohue|Austen Jewell,1,4.6
Jack Gold,4,6.15
Jack Heller,2,5.75
Jack Hill ,2,6.55
Jack Hill |Bart Patton,1,6.3
Jack Nicholson,2,5.65
Jack Perez,3,5.0
Jack Plotnick,1,4.4
Jack Sholder,4,5.725
Jack Smight,3,6.133333333333333
Jack Starrett,1,6.9
Jackie Chan,2,7.0
Jackie Earle Haley,1,5.9
Jaco Van Dormael,2,6.85
Jacob Aaron Estes,2,6.6
Jacob Chase,1,5.2
Jacob Gentry,1,5.3
Jacob Kornbluth,1,7.9
Jacob Tierney,2,5.8
Jacob Vaughan,1,5.5
Jacques Audiard,1,6.1
Jacques Perrin|Jacques Cluzaud,1,7.4
Jacques Rivette,1,6.0
Jacqui Morris|David Morris,1,7.2
Jafar Panahi,1,6.5
Jake Goldberger,2,5.35
Jake Hoffman,1,6.5
Jake Kasdan,5,5.8
Jake Newsome,1,6.1
Jake Paltrow,2,5.45
Jake Schreier,2,6.45
Jake Scott,2,6.1
Jake Szymanski,1,6.4
Jake West,2,5.699999999999999
Jalmari Helander,1,5.2
Jamal Hill,1,7.4
James B. Harris,1,4.7
James Bobin,2,6.300000000000001
James Bobin|Steve Smith,1,5.8
James Bolton,1,5.8
James Bridges,4,5.175
James Cameron,10,6.83
James Cameron|Steven Quale,1,6.5
James Clavell,1,7.2
James Colquhoun,1,7.0
James Colquhoun|Laurentine Ten Bosch,1,7.5
James Cox,3,5.733333333333333
James D. Rolfe|Kevin Finn,1,5.8
James D.R. Hickox,1,4.3
James DeMonaco,2,6.199999999999999
James Dearden,1,5.8
James Dodson,2,5.45
James Erskine,1,6.5
James Fargo,2,6.5
James Foley,8,6.137499999999999
James Ford Murphy,1,7.3
James Franco,2,5.45
James Franco|Travis Mathews,1,5.3
James Gartner,1,7.1
James Glickenhaus,2,5.699999999999999
James Goldstone,1,6.0
James Gray,5,6.119999999999999
James Griffiths,1,5.8
James Gunn,3,6.866666666666667
James Hacking,1,4.5
James Hawes,1,6.5
James Hayman,2,5.95
James Healey,1,3.3
James Hill,1,6.6
James Honeyborne,1,6.5
James Huth,2,4.8
James Isaac,3,4.3
James Ivory,6,6.233333333333333
James Keach,2,6.05
James Kent,1,7.0
James Komack,1,4.4
James Kondelik,1,2.4
James L. Brooks,5,6.0200000000000005
James Lapine,1,6.0
James Mangold,8,6.6125
James Marsh,4,7.049999999999999
James McTeigue,4,6.275
James Merendino,1,7.2
James Moll,1,7.2
James Moran,1,4.2
James Mottern,1,3.9
James Napier Robertson,1,4.4
James Nguyen,1,2.1
James Nunn,1,5.2
James Orr,2,5.800000000000001
James Payne,1,8.5
James Ponsoldt,3,6.733333333333333
James Rabbitts,1,5.1
James Sbardellati,1,3.8
James Sbardellati|Peter Merwin|Bart Freundlich,1,5.2
James Signorelli,1,6.1
James Steven Sadwith,1,5.3
James Strong,2,7.25
James T. Walker,1,6.7
James Toback,2,5.15
James Tucker,1,6.7
James Vanderbilt,1,6.4
James Wan,8,6.7625
James Ward Byrkit,1,7.1
James Watkins,2,6.449999999999999
James William Guercio,1,6.1
James Wong,4,5.1499999999999995
James Yukich,2,5.550000000000001
Jamie Babbit,4,5.625
Jamie Blanks,4,5.425000000000001
Jamie Bradshaw|Aleksandr Dulerayn,1,4.6
Jamie Linden,1,5.6
Jamie Mitchell,2,6.300000000000001
Jamie Travis,1,5.8
Jamie Uys,3,7.166666666666667
Jamin Winans,2,6.35
Jan Harlan,1,7.5
Jan Kounen,2,5.5
Jan Ole Gerster,1,7.1
Jan Pinkava,1,7.8
Jan de Bont,5,5.539999999999999
Jane Anderson,1,5.6
Jane Anderson|Martha Coolidge|Anne Heche,1,5.7
Jane Campion,6,6.0
Jane Preston,1,6.0
Janet Grillo,1,7.0
Jang Hoon,1,6.3
Janusz Kaminski,1,4.2
Jared Cohn,4,3.45
Jared Drake,1,5.7
Jared Hess,4,5.5
Jared Leto,1,7.4
Jared P. Scott|Peter D. Hutchison|Kelly Nyks,1,7.8
Jarret Tarnol,1,5.6
Jason Aron,1,5.8
Jason Bateman,1,6.2
Jason Bloom,1,4.6
Jason Bourque,1,3.7
Jason Cohn|Bill Jersey,1,6.9
Jason Connery,3,4.433333333333334
Jason Eisener,1,5.8
Jason Friedberg|Aaron Seltzer,7,3.8999999999999995
Jason Hewitt,1,6.3
Jason Krawczyk,1,6.3
Jason Lapeyre,1,5.8
Jason Lei Howden,1,6.5
Jason Momoa,1,5.3
Jason Moore,2,6.550000000000001
Jason Priestley,1,7.4
Jason Reitman,6,6.466666666666666
Jason Schnell,1,5.1
Jason Stone,1,5.7
Jason Stutter,1,4.6
Jason Todd Ipson,1,5.2
Jason Winer,1,5.3
Jason Wise,1,7.0
Jason Woliner,2,6.95
Jaume BalaguerÃ³,2,5.65
Jaume Collet-Serra,6,6.166666666666667
Javier Fuentes-LeÃ³n,1,6.9
Javier Ruiz Caldera,1,5.5
Jay Alaimo,1,4.1
Jay Bulger,1,7.3
Jay Chandrasekhar,5,5.5200000000000005
Jay Chapman,1,7.2
Jay Duplass|Mark Duplass,1,6.1
Jay Gammill,1,6.3
Jay Karas,4,7.35
Jay Lee,2,5.1
Jay Levey,1,6.7
Jay Lowi,1,5.7
Jay Martin,1,5.0
Jay Oliva,6,7.116666666666667
Jay Roach,11,6.090909090909091
Jay Russell,4,6.199999999999999
Jay Sandrich,1,5.9
Jayson Thiessen,1,7.4
Jean Becker,2,7.199999999999999
Jean de Segonzac,1,4.5
Jean-Baptiste Andrea,1,6.5
Jean-Baptiste Andrea|Fabrice Canepa,1,6.5
Jean-Baptiste LÃ©onetti,1,5.5
Jean-Claude Van Damme,1,5.1
Jean-FranÃ§ois Richet,1,5.9
Jean-Jacques Annaud,5,6.6800000000000015
Jean-Marc VallÃ©e,4,7.25
Jean-Marie PoirÃ©,1,4.7
Jean-Paul Lilienfeld,1,7.2
Jean-Paul Rappeneau,1,6.4
Jean-Paul SalomÃ©,2,4.4
Jean-Paul SalomÃ©|Serge Boutleroff,1,6.9
Jean-Pierre Dardenne|Luc Dardenne,2,5.949999999999999
Jean-Pierre Jeunet,3,6.5
Jean-StÃ©phane Sauvaire,1,6.5
Jean-Xavier de Lestrade,1,7.5
Jeannot Szwarc,5,5.68
Jeb Stuart,1,5.7
Jed Mercurio,1,6.3
Jefery Levy,1,5.8
Jeff Abugov,1,6.0
Jeff Baena,1,4.8
Jeff Balsmeyer,1,5.5
Jeff Beesley,1,5.6
Jeff Betancourt,1,4.9
Jeff Bleckner,2,5.95
Jeff Buhler,1,5.2
Jeff Burr,3,5.233333333333333
Jeff Chan,1,4.7
Jeff Feuerzeig,1,8.3
Jeff Gillen|Alan Ormsby,1,5.0
Jeff Kanew,6,5.583333333333333
Jeff King,3,5.033333333333332
Jeff Lau|Corey Yuen Kwai,1,6.6
Jeff Lieberman,2,5.2
Jeff Lowell,1,5.2
Jeff Margolis,1,7.0
Jeff McQueen,1,6.8
Jeff Nichols,3,6.733333333333334
Jeff Orlowski,1,7.7
Jeff Pollack,3,5.566666666666666
Jeff Preiss,1,4.8
Jeff Renfroe,1,5.2
Jeff Schaffer,1,6.4
Jeff Shuter|Daniel Viney,1,5.9
Jeff Stilson,1,7.0
Jeff Tremaine,7,6.185714285714285
Jeff Wadlow,3,6.066666666666667
Jeff Zimbalist|Michael Zimbalist,1,7.5
Jeffrey Blitz,2,6.5
Jeffrey Bloom,1,6.9
Jeffrey Donovan,1,6.6
Jeffrey Fine,1,6.6
Jeffrey Hornaday,3,6.133333333333333
Jeffrey Nachmanoff,1,6.2
Jeffrey Porter,1,5.8
Jeffrey Radice,1,6.7
Jeffrey Walker,1,5.3
Jem Cohen,1,4.5
Jemaine Clement|Taika Waititi,1,7.2
Jen McGowan,1,5.9
Jen Soska|Sylvia Soska,3,5.3
Jennie Livingston,1,7.6
Jennifer Chambers Lynch,3,5.633333333333333
Jennifer DevoldÃ¨re,1,4.7
Jennifer Flackett|Mark Levin,1,5.5
Jennifer Kent,1,6.5
Jennifer M. Kroot,1,6.5
Jennifer Phang,1,6.4
Jennifer Siebel Newsom,2,8.35
Jennifer Westfeldt,1,5.7
Jennifer Yuh,1,6.6
Jenniphr Goodman,1,5.5
Jens Hoffmann,1,6.4
JenÃ©e LaMarque,1,5.9
Jeppe RÃ¸nde,1,5.7
Jeremiah Kipp|Zeke Dunn|Nicole Real|Glenn McQuaid,1,5.3
Jeremiah S. Chechik,5,5.92
Jeremy Berg,1,3.3
Jeremy Brock,1,6.3
Jeremy Gardner,1,5.7
Jeremy Garelick,1,6.5
Jeremy Haft,1,4.9
Jeremy Kagan,1,6.2
Jeremy Kipp Walker|John Mitchell,1,6.3
Jeremy Lalonde,1,4.7
Jeremy Leven,1,6.2
Jeremy Lovering,2,5.15
Jeremy M. Inman,1,3.8
Jeremy Podeswa|Tim Van Patten|David Nutter|Graham Yost|Carl Franklin|Tony To,1,7.8
Jeremy Power Regimbal,1,5.2
Jeremy Saulnier,2,5.85
Jeremy Sims,2,7.3
Jeremy Snead,1,6.0
Jerome Robbins|Robert Wise,1,6.6
Jerome Sable,1,5.3
Jerry Jameson,2,5.7
Jerry Lewis,3,6.966666666666666
Jerry London,1,6.2
Jerry Paris,2,5.4
Jerry Rees,1,6.5
Jerry Schatzberg,2,6.25
Jerry Zaks,1,6.3
Jerry Zucker,3,6.133333333333333
Jerusha Hess,1,6.6
Jerzy Skolimowski,2,5.9
Jess Manafort,1,5.5
Jesse Dylan,3,6.1000000000000005
Jesse Moss,1,6.8
Jesse Peretz,2,5.35
Jesse T. Cook,1,4.0
Jesse V. Johnson,1,5.2
Jesse Vaughan,1,4.4
Jesse Zwick,1,6.5
Jessica Bendinger,1,6.0
Jessica Nilsson,1,2.5
Jessica Sharzer,1,6.7
Jessie McCormack,1,4.4
Jessie Nelson,3,6.3
Jessy Terrero,3,4.866666666666667
JesÃºs Franco,1,6.4
JesÃºs Salvador TreviÃ±o,1,6.2
Jez Butterworth,1,6.1
Jieho Lee,1,6.0
Jill Bauer|Ronna Gradus,1,5.9
Jill Soloway,1,6.0
Jill Sprecher,1,5.9
Jillian Schlesinger,1,7.2
Jim Abrahams,5,5.94
Jim Abrahams|David Zucker|Jerry Zucker,3,6.7
Jim Capobianco,1,6.6
Jim Clark,1,5.9
Jim Drake,1,5.0
Jim Fall,3,6.1000000000000005
Jim Field Smith,2,5.9
Jim Gillespie,3,5.166666666666667
Jim Henson,3,7.066666666666667
Jim Henson|Frank Oz,1,7.3
Jim Jarmusch,11,6.845454545454545
Jim Kammerud,2,5.8
Jim Kammerud|Brian Smith,1,5.7
Jim Kohlberg,1,7.3
Jim Kouf,1,6.4
Jim Loach,1,6.0
Jim Mallon,1,7.0
Jim McBride,3,5.833333333333333
Jim Mickle,4,5.7
Jim O'Connolly,1,3.9
Jim O'Hanlon,1,7.6
Jim Rash|Nat Faxon,1,7.1
Jim Sharman,1,7.1
Jim Sheridan,7,6.7
Jim Sonzero,1,5.1
Jim Stenstrum,3,6.533333333333334
Jim Strouse,3,6.2
Jim Torres,1,2.9
Jim Weedon,1,5.6
Jim Wheat|Ken Wheat,1,5.3
Jim Wilson,1,5.5
Jim Wynorski,3,4.466666666666667
Jimmy Chin|Elizabeth Chai Vasarhelyi,1,6.9
Jimmy Hayward,2,5.1
Jimmy Hayward|Steve Martino,1,6.2
Jimmy T. Murakami,2,6.65
Jimmy Wang Yu,1,6.0
JiÅ™Ã­ Menzel,1,6.8
Joachim RÃ¸nning|Espen Sandberg,2,6.9
Joachim Trier,1,6.3
Joan Chen,1,5.8
Joan Churchill|Nick Broomfield,1,7.3
Joan Micklin Silver,1,6.5
Joann Sfar,1,6.9
Joaquim Dos Santos,3,6.766666666666667
Joby Harold,1,6.3
Jocelyn Moorhouse,3,6.333333333333333
Jodie Foster,3,6.1000000000000005
Jody Hill,2,5.4
Jody Lee Lipes,1,6.4
Joe Alves,1,4.2
Joe Begos,1,4.5
Joe Berlinger,2,5.15
Joe Berlinger|Bruce Sinofsky,4,7.075
Joe Camp,2,6.4
Joe Carnahan,5,6.16
Joe Chappelle,4,5.625
Joe Charbanic,1,4.7
Joe Cornish,1,6.4
Joe Cross|Kurt Engfehr,1,7.2
Joe Dante,12,6.008333333333333
Joe Dante|Carl Gottlieb|Peter Horton|John Landis|Robert K. Weiss,1,5.8
Joe Giannone,1,5.5
Joe Johnston,9,6.0777777777777775
Joe Lynch,3,5.266666666666667
Joe Marino,1,4.7
Joe Nimziki,1,4.4
Joe Nussbaum,4,5.6
Joe Pytka,2,6.699999999999999
Joe Roth,4,5.525
Joe Russo|Anthony Russo,1,7.6
Joe Sichta,2,6.45
Joe Smalley|Tess Smalley,1,3.3
Joe Swanberg,3,5.466666666666666
Joe Wright,6,6.683333333333334
Joel Allen Schroeder,1,5.7
Joel Anderson,1,5.9
Joel Bender,1,4.3
Joel Bergvall|Simon Sandquist,1,5.6
Joel Coen,10,7.0600000000000005
Joel Coen|Ethan Coen,2,7.35
Joel Edgerton,1,6.6
Joel Gallen,4,6.35
Joel Hopkins,2,5.75
Joel Potrykus,1,6.1
Joel Schumacher,21,5.971428571428572
Joel Silberg,1,5.5
Joel Soisson,2,4.55
Joel Viertel,1,6.3
Joel Zwick,2,5.199999999999999
Joey Ansah,1,6.4
Joey Kuhn,1,7.2
Joey Stewart,1,6.2
Johan Earl|Adrian Powers,1,6.0
Johannes Roberts,2,4.55
Johannes StjÃ¤rne Nilsson|Ola Simonsson,1,7.2
Johathan Darby,1,5.8
John 'Bud' Cardos,1,5.7
John A. Davis,2,5.5
John Alan Schwartz,1,4.7
John Alexander,1,6.5
John Asher,1,4.8
John August,1,5.9
John Badham,14,5.864285714285714
John Baumgartner,1,3.7
John Blanchard,1,5.1
John Bonito,2,5.05
John Boorman,10,6.090000000000001
John Bruno,1,4.9
John Burgess,1,6.7
John Butler,1,5.0
John Cameron Mitchell,3,6.766666666666667
John Carl Buechler,3,4.366666666666666
John Carney,2,7.25
John Carpenter,18,6.15
John Carpenter|Tobe Hooper|Larry Sulkis,1,5.3
John Cassavetes,5,6.7
John Cornell,2,5.95
John Crowley,4,6.375
John Curran,4,6.300000000000001
John Dahl,8,6.125
John De Bello,2,4.699999999999999
John Derek,1,4.5
John Downer,1,6.4
John Duigan,5,5.959999999999999
John Dunson|Sean Dunson,1,4.9
John Eng|Norton Virgien,1,5.3
John Erick Dowdle,5,5.76
John Fawcett,2,5.800000000000001
John Flynn,5,6.119999999999999
John Ford,5,5.819999999999999
John Ford|Henry Hathaway|George Marshall|Richard Thorpe,1,6.1
John Fortenberry,2,5.0
John Francis Daley|Jonathan M. Goldstein,1,6.1
John Frankenheimer,9,6.222222222222222
John Frankenheimer|Arthur Penn,1,6.8
John G. Avildsen,11,6.1909090909090905
John Gatins,1,5.9
John Glen,5,5.859999999999999
John Glenn|Charles Crossin|Ronaldo Nacionales|Markian Saray,1,5.9
John Goldschmidt,1,4.9
John Gray,2,4.95
John Guillermin,6,5.783333333333334
John Guillermin|Charles McCracken,1,3.5
John Gulager,5,4.5
John H. Lee,1,6.9
John H. Williams,1,5.0
John Hamburg,2,6.050000000000001
John Harrison,3,5.866666666666667
John Hay,1,4.0
John Henderson,3,5.466666666666666
John Herzfeld,5,5.359999999999999
John Hillcoat,3,6.8
John Hindman,1,6.1
John Hough,5,6.24
John Huddles,1,6.3
John Hughes,8,6.599999999999999
John Huston,12,6.100000000000001
John Hyams,3,4.833333333333333
John Inwood,1,5.2
John Irvin,6,5.683333333333334
John Jeffcoat,1,6.1
John Kafka,1,5.6
John Kahrs,1,8.0
John Kalangis,1,6.3
John Kent Harrison,3,5.466666666666666
John Korty,1,5.8
John Krokidas,1,6.7
John Lafia,3,5.333333333333333
John Laing,1,5.4
John Landis,16,6.268749999999999
John Landis|Steven Spielberg|George Miller|Joe Dante,1,6.0
John Lasseter,5,6.919999999999999
John Lasseter|Andrew Stanton,1,6.6
John Lasseter|Brad Lewis,1,5.8
John Lasseter|Dan Scanlon,1,6.4
John Lasseter|Joe Ranft,1,6.4
